[00:00:00.007] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161126_121753_1.jpg -> /home/sgzmd/Downloads/Temp/2016/11/26/IMG_20161126_121753_1.jpg
[00:00:00.008] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161215_130924.jpg
[00:00:00.008] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161215_130924.jpg -> /home/sgzmd/Downloads/Temp/2016/12/15/IMG_20161215_130924.jpg
[00:00:00.008] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161215_142415.jpg
[00:00:00.008] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161215_142415.jpg -> /home/sgzmd/Downloads/Temp/2016/12/15/IMG_20161215_142415.jpg
[00:00:00.008] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161214_103956.jpg
[00:00:00.008] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161214_103956.jpg -> /home/sgzmd/Downloads/Temp/2016/12/14/IMG_20161214_103956.jpg
[00:00:00.008] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161116_071956.jpg
[00:00:00.008] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161116_071956.jpg -> /home/sgzmd/Downloads/Temp/2016/11/16/IMG_20161116_071956.jpg
[00:00:00.009] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161115_214718.jpg
[00:00:00.009] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161115_214718.jpg -> /home/sgzmd/Downloads/Temp/2016/11/15/IMG_20161115_214718.jpg
[00:00:00.009] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161211_083010.jpg
[00:00:00.009] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161211_083010.jpg -> /home/sgzmd/Downloads/Temp/2016/12/11/IMG_20161211_083010.jpg
[00:00:00.009] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/00011IMG_00011_BURST20161204154200.jpg
